accession,kinase_name,hgnc_mgi,kinase_group
Q07002,PCTAIRE3,CDK18,CMGC
Q07912,ACK,TNK2,TK
Q08345,DDR1,DDR1,TK
Q08881,ITK,ITK,TK
Q09013,DMPK1,DMPK,AGC
Q12851,Map4k2,MAP4K2,STE
Q12852,DLK,MAP3K12,TKL
Q12866,MER,MERTK,TK
Q13043,MST1,STK4,STE
Q13131,AMPKa1,PRKAA1,CAMK
Q13153,PAK1,PAK1,STE
Q13163,MAP2K5,MAP2K5,STE
Q13164,Erk5,MAPK7,CMGC
Q13177,PAK2,PAK2,STE
Q13188,MST2,STK3,STE
Q13233,MAP3K1,MAP3K1,STE
Q13237,PKG2,PRKG2,AGC
Q13263,TIF1b,TRIM28,Atypical
Q13315,ATM,ATM,Atypical
Q13418,ILK,ILK,TKL
Q13464,ROCK1,ROCK1,AGC
Q13470,TNK1,TNK1,TK
Q13523,PRP4,PRPF4B,CMGC
